Method,method_id,Task,source,Acc,MacroF1,E_F1,M_F1,L_F1,M_Precision,M_Recall,M_to_E,M_to_L,Rev,Jump,Smooth,n_test,test_universe,aggregation_level,protocol_id,source_path,status
RF,rf,D1,fixed official model point estimate from D1 moving-block bootstrap table,0.9769736842105263,0.9773279380019092,0.9651162790697676,0.9723320158102767,0.994535519125683,0.9919354838709676,0.9534883720930233,0.03875968992248032,0.007751937984496064,5,0,0.11049504950495051,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,AUTHORITATIVE
TCN-GRU,tcn_gru,D1,fixed official model point estimate from D1 moving-block bootstrap table,0.868421052631579,0.8745597385825539,0.8316831683168316,0.8260869565217391,0.9659090909090908,0.9405940594059404,0.7364341085271318,0.2635658914728662,0.0,0,0,0.02195115511551155,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,AUTHORITATIVE
Multi-task TCN-GRU,multitask_tcn_gru,D1,fixed official model point estimate from D1 moving-block bootstrap table,0.9901315789473685,0.9902304781561747,0.9824561403508772,0.9882352941176471,1.0,1.0,0.9767441860465116,0.02325581395348819,0.0,0,0,0.023590099009900993,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,AUTHORITATIVE
DC-PSR,dc_psr,D1,fixed official model point estimate from D1 moving-block bootstrap table,0.9868421052631579,0.9871020928241414,0.9824561403508772,0.984375,0.994475138121547,0.9921259842519684,0.9767441860465116,0.02325581395348819,0.0,0,0,0.018762706270627056,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,AUTHORITATIVE
HTT-Net (adapted),htt_net,D1,fixed official model point estimate from D1 moving-block bootstrap table,0.7763157894736842,0.7793803418803419,0.9230769230769232,0.6458333333333334,0.7692307692307693,0.984126984126984,0.4806201550387597,0.1085271317829449,0.4108527131782914,4,3,0.0649591132819632,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,AUTHORITATIVE
Multi-source Attention,multi_source_attention,D1,fixed official model point estimate from D1 moving-block bootstrap table,0.8125,0.8195212874954683,0.8928571428571429,0.7543859649122807,0.8113207547169812,0.8686868686868687,0.6666666666666666,0.06201550387596851,0.27131782945736227,22,2,0.32510083353933256,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,AUTHORITATIVE
MTF-AViTK,mtf_avitk,D1,fixed official model point estimate from D1 moving-block bootstrap table,0.9703947368421053,0.9713382539327519,0.9882352941176472,0.9657794676806084,0.96,0.9477611940298508,0.9844961240310077,0.015503875968992128,0.0,8,0,0.19011765882472606,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,AUTHORITATIVE
Dynamic GIN + TGP,dynamic_gin_tgp,D1,fixed official model point estimate from D1 moving-block bootstrap table,0.8026315789473685,0.8092427461877002,0.8235294117647058,0.7560975609756098,0.8481012658227848,0.7948717948717948,0.7209302325581395,0.2790697674418583,0.0,7,0,0.08542534166666667,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,AUTHORITATIVE
DP2Net-adapted,dp2net_adapted,D1,fixed official model point estimate from D1 moving-block bootstrap table,0.9046052631578947,0.9000776159216511,0.8251748251748252,0.896797153024911,0.9782608695652174,0.8289473684210527,0.9767441860465116,0.0,0.02325581395348819,4,0,0.05341049988913365,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/01_main_D1/D1_9methods_bootstrap_CI.csv,AUTHORITATIVE
RF,rf,D2,existing seed-42 predictions filtered and recomputed; no retraining,0.8980263157894737,0.9030558663001741,0.865979381443299,0.8724279835390947,0.9707602339181286,0.954954954954955,0.803030303030303,0.1969696969696955,0.0,2,0,0.07158415841584159,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/predictions/D2/rf/predictions.csv,AUTHORITATIVE
TCN-GRU,tcn_gru,D2,existing seed-42 predictions filtered and recomputed; no retraining,0.569078947368421,0.5050491050976135,0.6021505376344086,0.015037593984962407,0.8979591836734693,1.0,0.007575757575757576,0.8409090909090846,0.15151515151515038,3,5,0.004917010594059408,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/predictions/D2/tcn_gru/predictions.csv,AUTHORITATIVE
Multi-task TCN-GRU,multitask_tcn_gru,D2,existing seed-42 predictions filtered and recomputed; no retraining,0.7993421052631579,0.811458419130769,0.7499999999999999,0.7136150234741784,0.9707602339181286,0.9382716049382716,0.5757575757575758,0.42424242424242103,0.0,0,0,0.013134642344224422,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/predictions/D2/multitask_tcn_gru/predictions.csv,AUTHORITATIVE
DC-PSR,dc_psr,D2,existing seed-42 predictions filtered and recomputed; no retraining,0.7960526315789473,0.8083246901320387,0.7466666666666666,0.7075471698113207,0.9707602339181286,0.9375,0.5681818181818182,0.43181818181817855,0.0,0,0,0.012266389141166468,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/predictions/D2/dc_psr/predictions.csv,AUTHORITATIVE
HTT-Net (adapted),htt_net,D2,existing seed-42 predictions filtered and recomputed; no retraining,0.9276315789473685,0.9270847918460327,0.8874172185430463,0.923076923076923,0.9707602339181286,0.8571428571428571,1.0,0.0,0.0,0,0,0.014122898306151814,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/predictions/D2/htt_net/predictions.csv,AUTHORITATIVE
Multi-source Attention,multi_source_attention,D2,existing seed-42 predictions filtered and recomputed; no retraining,0.3223684210526316,0.23146415569924583,0.18947368421052632,0.04255319148936171,0.46236559139784944,0.3333333333333333,0.022727272727272728,0.015151515151515037,0.9621212121212048,17,16,0.28383730019812126,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/predictions/D2/multi_source_attention/predictions.csv,AUTHORITATIVE
MTF-AViTK,mtf_avitk,D2,existing seed-42 predictions filtered and recomputed; no retraining,0.7861842105263158,0.7977857689874471,0.7699530516431926,0.7234042553191489,0.9,0.8252427184466019,0.6439393939393939,0.35606060606060336,0.0,10,0,0.13826406907920794,304,run_id_12_315_common_304,task_point_estimate,PHM_D1_D2_D3_COMMON_304,paper_data/01_PHM2010/02_cross_condition_D1_D2_D3/predictions/D2/mtf_avitk/predictions.csv,AUTHORITATIVE
