Category,Method,seed,source_file,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2
generic_internal_baseline,RF,42,补充材料\小论文\4_comparison_experiment_recheck\1_results\FINAL_comparison_results.csv,0.977,0.9773,0.9651,0.9723,0.9945,0.9919,0.9535,0.0388,0.0078,5,0,0.1105,,,
generic_internal_baseline,TCN-GRU,42,补充材料\小论文\4_comparison_experiment_recheck\1_results\FINAL_comparison_results.csv,0.8684,0.8746,0.8317,0.8261,0.9659,0.9406,0.7364,0.2636,0.0,0,0,0.0219,,,
generic_internal_baseline,Multi-task TCN-GRU,42,补充材料\小论文\4_comparison_experiment_recheck\1_results\FINAL_comparison_results.csv,0.9901,0.9902,0.9825,0.9882,1.0,1.0,0.9767,0.0233,0.0,0,0,0.0236,,,
proposed,DC-PSR,42,补充材料\小论文\4_comparison_experiment_recheck\1_results\FINAL_comparison_results.csv,0.9868,0.9871,0.9825,0.9844,0.9945,0.9921,0.9767,0.0233,0.0,0,0,0.0188,,,
generic_internal_baseline,RF,52,final_five_seed_sweep\results\generic_baselines\seed52\1_results\FINAL_comparison_results.csv,0.9803,0.9806,0.9708,0.9764,0.9945,0.992,0.9612,0.031,0.0078,5,0,0.1146,,,
generic_internal_baseline,TCN-GRU,52,final_five_seed_sweep\results\generic_baselines\seed52\1_results\FINAL_comparison_results.csv,0.8914,0.8947,0.9385,0.8533,0.8922,1.0,0.7442,0.0853,0.1705,8,0,0.083,,,
generic_internal_baseline,Multi-task TCN-GRU,52,final_five_seed_sweep\results\generic_baselines\seed52\1_results\FINAL_comparison_results.csv,0.7961,0.7994,0.9231,0.6837,0.7913,1.0,0.5194,0.1085,0.3721,3,1,0.0551,,,
proposed,DC-PSR,52,final_five_seed_sweep\results\generic_baselines\seed52\1_results\FINAL_comparison_results.csv,0.8586,0.8674,0.9825,0.8,0.8198,1.0,0.6667,0.0233,0.3101,2,0,0.0402,,,
generic_internal_baseline,RF,62,final_five_seed_sweep\results\generic_baselines\seed62\1_results\FINAL_comparison_results.csv,0.9737,0.9743,0.9708,0.9688,0.9834,0.9764,0.9612,0.031,0.0078,7,0,0.1086,,,
generic_internal_baseline,TCN-GRU,62,final_five_seed_sweep\results\generic_baselines\seed62\1_results\FINAL_comparison_results.csv,0.8059,0.8067,0.8235,0.7122,0.8844,0.9605,0.5659,0.2791,0.155,1,0,0.0268,,,
